Altium Designer Pick and Place Locations
C:\Users\thanh\Documents\git\pcb\ebox_main_pcb\Outputs\Pick Place\eBox_main_pnp_V2.1_2021-05-02_12-27.csv

========================================================================================================================
File Design Information:

Date:       02/05/21
Time:       12:27
Revision:   05351c502106140497ed03f9f86fcfae9b0b122f
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R502","220K","TopLayer","R_0805","44.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R503","220K","TopLayer","R_0805","129.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R504","220K","TopLayer","R_0805","134.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R505","10K","TopLayer","R_0805","37.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R506","10K","TopLayer","R_0805","47.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R507","10K","TopLayer","R_0805","127.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R508","10K","TopLayer","R_0805","137.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R509","220K","TopLayer","R_0805","41.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R510","220K","TopLayer","R_0805","46.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R511","220K","TopLayer","R_0805","131.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R512","220K","TopLayer","R_0805","136.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R513","10K","TopLayer","R_0805","40.5000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R514","10K","TopLayer","R_0805","45.0000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R515","10K","TopLayer","R_0805","130.5000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R516","10K","TopLayer","R_0805","135.0000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R517","220K","TopLayer","R_0805","54.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R518","220K","TopLayer","R_0805","59.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R519","220K","TopLayer","R_0805","144.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R520","220K","TopLayer","R_0805","149.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R521","10K","TopLayer","R_0805","52.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R522","10K","TopLayer","R_0805","62.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R523","10K","TopLayer","R_0805","142.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R524","10K","TopLayer","R_0805","152.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R525","220K","TopLayer","R_0805","56.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R526","220K","TopLayer","R_0805","61.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R527","220K","TopLayer","R_0805","146.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R528","220K","TopLayer","R_0805","151.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R529","10K","TopLayer","R_0805","55.5000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R530","10K","TopLayer","R_0805","60.0000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R531","10K","TopLayer","R_0805","145.5000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R532","10K","TopLayer","R_0805","150.0000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R533","220K","TopLayer","R_0805","69.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R534","220K","TopLayer","R_0805","74.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R535","10K","TopLayer","R_0805","67.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R536","10K","TopLayer","R_0805","77.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R537","220K","TopLayer","R_0805","71.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R538","220K","TopLayer","R_0805","76.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R539","10K","TopLayer","R_0805","70.5000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R540","10K","TopLayer","R_0805","75.0000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R541","220K","TopLayer","R_0805","84.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R542","220K","TopLayer","R_0805","89.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R543","10K","TopLayer","R_0805","82.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R544","10K","TopLayer","R_0805","92.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R545","220K","TopLayer","R_0805","86.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R546","220K","TopLayer","R_0805","91.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R547","10K","TopLayer","R_0805","85.5000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R548","10K","TopLayer","R_0805","90.0000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R549","220K","TopLayer","R_0805","99.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R550","220K","TopLayer","R_0805","104.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R551","10K","TopLayer","R_0805","97.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R552","10K","TopLayer","R_0805","107.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R553","220K","TopLayer","R_0805","101.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R554","220K","TopLayer","R_0805","106.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R555","10K","TopLayer","R_0805","100.5000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R556","10K","TopLayer","R_0805","105.0000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R560","220K","TopLayer","R_0805","114.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R561","220K","TopLayer","R_0805","119.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R562","10K","TopLayer","R_0805","112.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R563","10K","TopLayer","R_0805","122.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R564","220K","TopLayer","R_0805","116.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R565","220K","TopLayer","R_0805","121.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R567","10K","TopLayer","R_0805","115.5000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R568","10K","TopLayer","R_0805","120.0000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R601","220K","TopLayer","R_0805","159.0000","93.2500","90","RES SMD 220K OHM 1% 1/8W 0805"
"R602","220K","TopLayer","R_0805","164.0000","93.2500","90","RES SMD 220K OHM 1% 1/8W 0805"
"R603","10K","TopLayer","R_0805","157.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R604","10K","TopLayer","R_0805","167.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R605","220K","TopLayer","R_0805","161.5000","93.2500","90","RES SMD 220K OHM 1% 1/8W 0805"
"R606","220K","TopLayer","R_0805","166.5000","93.2500","90","RES SMD 220K OHM 1% 1/8W 0805"
"R607","10K","TopLayer","R_0805","160.5000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R608","10K","TopLayer","R_0805","165.0000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R609","220K","TopLayer","R_0805","174.0000","93.2500","90","RES SMD 220K OHM 1% 1/8W 0805"
"R610","220K","TopLayer","R_0805","179.0000","93.2500","90","RES SMD 220K OHM 1% 1/8W 0805"
"R611","10K","TopLayer","R_0805","172.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R612","10K","TopLayer","R_0805","182.7500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R613","220K","TopLayer","R_0805","176.5000","93.2500","90","RES SMD 220K OHM 1% 1/8W 0805"
"R614","220K","TopLayer","R_0805","181.5000","93.2500","90","RES SMD 220K OHM 1% 1/8W 0805"
"R615","10K","TopLayer","R_0805","175.5000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"R616","10K","TopLayer","R_0805","180.0000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"RL301","SRD-12VDC-SL-C","BottomLayer","RL_SPDT_10A","39.0000","25.7500","270","RELAY GEN PURPOSE SPDT 10A 12V"
"RL302","SRD-12VDC-SL-C","BottomLayer","RL_SPDT_10A","59.0000","25.7500","270","RELAY GEN PURPOSE SPDT 10A 12V"
"RL303","SRD-12VDC-SL-C","BottomLayer","RL_SPDT_10A","79.0000","25.7500","270","RELAY GEN PURPOSE SPDT 10A 12V"
"RL304","SRD-12VDC-SL-C","BottomLayer","RL_SPDT_10A","99.0000","25.7500","270","RELAY GEN PURPOSE SPDT 10A 12V"
"RL305","SRD-12VDC-SL-C","BottomLayer","RL_SPDT_10A","119.0000","25.7500","270","RELAY GEN PURPOSE SPDT 10A 12V"
"RL306","SRD-12VDC-SL-C","BottomLayer","RL_SPDT_10A","139.0000","25.7500","270","RELAY GEN PURPOSE SPDT 10A 12V"
"RL307","SRD-12VDC-SL-C","BottomLayer","RL_SPDT_10A","159.0000","25.7500","270","RELAY GEN PURPOSE SPDT 10A 12V"
"RL308","SRD-12VDC-SL-C","BottomLayer","RL_SPDT_10A","179.0000","25.7500","270","RELAY GEN PURPOSE SPDT 10A 12V"
"S301","TA12-200","BottomLayer","TA12","45.0000","72.5000","0","CURR SENSE 1:2000 5A T/H"
"S302","TA12-200","BottomLayer","TA12","65.0000","72.5000","0","CURR SENSE 1:2000 5A T/H"
"S303","TA12-200","BottomLayer","TA12","85.0000","72.5000","0","CURR SENSE 1:2000 5A T/H"
"S304","TA12-200","BottomLayer","TA12","105.0000","72.5000","0","CURR SENSE 1:2000 5A T/H"
"S305","TA12-200","BottomLayer","TA12","125.0000","72.5000","0","CURR SENSE 1:2000 5A T/H"
"S306","TA12-200","BottomLayer","TA12","145.0000","72.5000","0","CURR SENSE 1:2000 5A T/H"
"S307","TA12-200","BottomLayer","TA12","163.5000","72.5000","0","CURR SENSE 1:2000 5A T/H"
"S308","TA12-200","BottomLayer","TA12","182.0000","72.5000","0","CURR SENSE 1:2000 5A T/H"
"U101","LM1117MPX-1.8/NOPB","TopLayer","SOT-223","221.5000","91.0000","180","IC REG LINEAR 1.8V 800MA SOT223"
"U201","STM32F103RCT6","TopLayer","STM-LQFP64","185.0000","151.5000","90","Mainstream Performance line, ARM Cortex-M3 MCU with 128 Kbytes Flash, 72 MHz CPU, motor control, USB and CAN"
"U202","74HC245D","TopLayer","SOIC-20","235.7500","129.5000","270","IC TRANSCVR NON-INVERT 6V 20SO"
"U203","MMA8452Q","TopLayer","MMA845xQ","163.7500","127.5000","180","Freescale's 3-axis digital accelerometer"
"U204","74HC245D","TopLayer","SOIC-20","221.5000","129.5000","270","IC TRANSCVR NON-INVERT 6V 20SO"
"U205","LM35DZ","BottomLayer","TO-92/W100","184.2500","127.5000","90","SENSOR ANALOG 0C-100C TO92-3"
"U206","25LC256T-I/SN","TopLayer","SOIC-8-I/SN","195.5000","163.7500","90","IC EEPROM 256K SPI 10MHZ 8SOIC"
"U305","ULN2003AD","TopLayer","SOIC-16","234.5950","117.4000","270","IC PWR RELAY 7NPN 1:1 16SOIC"
"U306","ULN2003AD","TopLayer","SOIC-16","222.2500","117.5000","270","IC PWR RELAY 7NPN 1:1 16SOIC"
"U501","SFH6286","TopLayer","SOP4_-_SFH6286","40.2500","101.2500","90","SFH6286"
"U502","SFH6286","TopLayer","SOP4_-_SFH6286","45.2500","101.2500","90","SFH6286"
"U503","SFH6286","TopLayer","SOP4_-_SFH6286","130.2500","101.2500","90","SFH6286"
"U504","SFH6286","TopLayer","SOP4_-_SFH6286","135.2500","101.2500","90","SFH6286"
"U505","SFH6286","TopLayer","SOP4_-_SFH6286","55.2500","101.2500","90","SFH6286"
"U506","SFH6286","TopLayer","SOP4_-_SFH6286","60.2500","101.2500","90","SFH6286"
"U507","SFH6286","TopLayer","SOP4_-_SFH6286","145.2500","101.2500","90","SFH6286"
"U508","SFH6286","TopLayer","SOP4_-_SFH6286","150.2500","101.2500","90","SFH6286"
"U509","SFH6286","TopLayer","SOP4_-_SFH6286","70.2500","101.2500","90","SFH6286"
"U510","SFH6286","TopLayer","SOP4_-_SFH6286","75.2500","101.2500","90","SFH6286"
"U511","PCF8574AT","TopLayer","SO16/PCF8574AT","75.0000","130.0000","360","Remote 8-bit I/O expander for I2C-bus with interrupt"
"U512","SFH6286","TopLayer","SOP4_-_SFH6286","85.2500","101.2500","90","SFH6286"
"U513","SFH6286","TopLayer","SOP4_-_SFH6286","90.2500","101.2500","90","SFH6286"
"U514","PCF8574AT","TopLayer","SO16/PCF8574AT","100.0000","130.0000","360","Remote 8-bit I/O expander for I2C-bus with interrupt"
"U515","SFH6286","TopLayer","SOP4_-_SFH6286","100.2500","101.2500","90","SFH6286"
"U516","SFH6286","TopLayer","SOP4_-_SFH6286","105.2500","101.2500","90","SFH6286"
"U518","SFH6286","TopLayer","SOP4_-_SFH6286","115.2500","101.2500","90","SFH6286"
"U519","SFH6286","TopLayer","SOP4_-_SFH6286","120.2500","101.2500","90","SFH6286"
"U601","SFH6286","TopLayer","SOP4_-_SFH6286","160.2500","101.2500","90","SFH6286"
"U602","SFH6286","TopLayer","SOP4_-_SFH6286","165.2500","101.2500","90","SFH6286"
"U603","PCF8574AT","TopLayer","SO16/PCF8574AT","125.0000","130.0000","360","Remote 8-bit I/O expander for I2C-bus with interrupt"
"U604","SFH6286","TopLayer","SOP4_-_SFH6286","175.2500","101.2500","90","SFH6286"
"U605","SFH6286","TopLayer","SOP4_-_SFH6286","180.2500","101.2500","90","SFH6286"
"VR101","Varistor","BottomLayer","VARISTOR_DISC_5MM/7MM","18.5000","42.2500","90","Varistor"
"D202","5V Led","BottomLayer","LED_3MM_-_blue","207.2500","141.2500","135","LED RED CLEAR 0603 SMD"
"P202","Header 5X2","BottomLayer","HDR/Header/10/DL/BOX","194.0000","127.0000","90","Header, 5-Pin, Dual row"
"R206","330R","TopLayer","R_0603","207.2500","146.2500","270","RES SMD 330 OHM 1% 1/10W 0603"
"R202","NA","TopLayer","R_0603","167.0000","150.5000","180","RES SMD 10K OHM 1% 1/10W 0603"
"F301","Fuse","BottomLayer","FUSE_2_DIP_0520_BOX","36.2500","49.5000","90","Fuse"
"F302","Fuse","BottomLayer","FUSE_2_DIP_0520_BOX","56.2500","49.5000","90","Fuse"
"F303","Fuse","BottomLayer","FUSE_2_DIP_0520_BOX","76.2500","49.5000","90","Fuse"
"F304","Fuse","BottomLayer","FUSE_2_DIP_0520_BOX","96.2500","49.5000","90","Fuse"
"F305","Fuse","BottomLayer","FUSE_2_DIP_0520_BOX","116.2500","49.5000","90","Fuse"
"F306","Fuse","BottomLayer","FUSE_2_DIP_0520_BOX","136.2500","49.5000","90","Fuse"
"F307","Fuse","BottomLayer","FUSE_2_DIP_0520_BOX","156.2500","49.5000","90","Fuse"
"F308","Fuse","BottomLayer","FUSE_2_DIP_0520_BOX","176.2500","49.5000","90","Fuse"
"F309","Fuse","BottomLayer","FUSE_2_DIP_0520_BOX","196.2500","49.5000","90","Fuse"
"F310","Fuse","BottomLayer","FUSE_2_DIP_0520_BOX","216.2500","49.5000","90","Fuse"
"S309","TA12-200","BottomLayer","TA12","205.0000","72.5000","0","CURR SENSE 1:2000 5A T/H"
"C611","0.1uF","TopLayer","C_0603","150.0000","138.2500","90","CAP CER 0.1UF 50V X7R 0603"
"C612","4.7uF","TopLayer","C_0603","148.0000","138.2500","90","CAP CER 4.7UF 50V X7R 0603"
"SW602","SW DIP-8","BottomLayer","SW/DIP8/300","144.7500","156.0000","360","SW DIP-8"
"U606","PCF8574AT","TopLayer","SO16/PCF8574AT","143.5000","130.0000","360","Remote 8-bit I/O expander for I2C-bus with interrupt"
"SW201","Button","BottomLayer","SW/2/DIP","161.5000","139.7500","90","Tact switch 2 pin"
"C535","10uF","TopLayer","C_0805","30.0000","112.5000","180","CAP CER 0.1UF 50V X7R 0805"
"Q515","MMBT3904LT1G","TopLayer","SOT-23","32.5000","116.5000","90","TRANS NPN 40V 0.2A SOT23"
"R557","220K","TopLayer","R_0805","30.5000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R559","220K","TopLayer","R_0805","33.0000","93.0000","90","RES SMD 220K OHM 1% 1/8W 0805"
"R558","10K","TopLayer","R_0805","29.2500","116.2500","270","RES SMD 10K OHM 1% 1/8W 0805"
"R566","10K","TopLayer","R_0805","32.0000","108.5000","360","RES SMD 10K OHM 1% 1/8W 0805"
"U517","SFH6286","TopLayer","SOP4_-_SFH6286","31.7500","101.2500","90","SFH6286"
"SW601","SW DIP-4","BottomLayer","SW/DIP4","127.2300","156.0600","360","SW DIP-4"
"RA601","10K","TopLayer","RAx4_1206_(3216)","127.2500","156.0000","90","10K 1/10W 5% Chip Resistor Array (SMD0603x4)"
"RA602","10K","TopLayer","RAx4_1206_(3216)","139.7500","156.0000","90","10K 1/10W 5% Chip Resistor Array (SMD0603x4)"
"RA603","10K","TopLayer","RAx4_1206_(3216)","149.7500","156.0000","90","10K 1/10W 5% Chip Resistor Array (SMD0603x4)"
"R321","10K","TopLayer","R_1206","40.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R322","10K","TopLayer","R_1206","43.0000","39.5000","270","RES SMD 10K OHM 5% 1/4W 1206"
"R323","10K","TopLayer","R_1206","45.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R324","10K","TopLayer","R_1206","60.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R325","10K","TopLayer","R_1206","63.0000","39.5000","270","RES SMD 10K OHM 5% 1/4W 1206"
"R326","10K","TopLayer","R_1206","65.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R327","10K","TopLayer","R_1206","80.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R328","10K","TopLayer","R_1206","83.0000","39.5000","270","RES SMD 10K OHM 5% 1/4W 1206"
"R329","10K","TopLayer","R_1206","85.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R330","10K","TopLayer","R_1206","100.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R331","10K","TopLayer","R_1206","103.0000","39.5000","270","RES SMD 10K OHM 5% 1/4W 1206"
"R332","10K","TopLayer","R_1206","105.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R333","10K","TopLayer","R_1206","120.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R334","10K","TopLayer","R_1206","123.0000","39.5000","270","RES SMD 10K OHM 5% 1/4W 1206"
"R335","10K","TopLayer","R_1206","125.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R336","10K","TopLayer","R_1206","140.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R337","10K","TopLayer","R_1206","143.0000","39.5000","270","RES SMD 10K OHM 5% 1/4W 1206"
"R338","10K","TopLayer","R_1206","145.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R339","10K","TopLayer","R_1206","160.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R340","10K","TopLayer","R_1206","163.0000","39.5000","270","RES SMD 10K OHM 5% 1/4W 1206"
"R341","10K","TopLayer","R_1206","165.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R342","10K","TopLayer","R_1206","180.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R343","10K","TopLayer","R_1206","183.0000","39.5000","270","RES SMD 10K OHM 5% 1/4W 1206"
"R344","10K","TopLayer","R_1206","185.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R345","10K","TopLayer","R_1206","200.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R346","10K","TopLayer","R_1206","203.0000","39.5000","270","RES SMD 10K OHM 5% 1/4W 1206"
"R347","10K","TopLayer","R_1206","205.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R348","10K","TopLayer","R_1206","220.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R349","10K","TopLayer","R_1206","223.0000","39.5000","270","RES SMD 10K OHM 5% 1/4W 1206"
"R350","10K","TopLayer","R_1206","225.5000","39.5000","90","RES SMD 10K OHM 5% 1/4W 1206"
"R569","1K","TopLayer","R_0805","41.7500","111.7500","270","RES SMD 1K OHM 5% 1/8W 0805"
"R570","1K","TopLayer","R_0805","43.7500","111.7500","270","RES SMD 1K OHM 5% 1/8W 0805"
"R571","1K","TopLayer","R_0805","131.7500","111.7500","270","RES SMD 1K OHM 5% 1/8W 0805"
